Мытищи,34.59,39.9908291375269,222739,2019,6439.4,2.02,7.7,0.8
Псков,95.6,95.5265893706394,210116,2019,2197.87,1.32,17.5,2.2
Люберцы,12.87,41.1696914782994,207349,2019,16111.03,2.02,7.7,0.8
Южно-Сахалинск,164.66,207.740579776361,200854,2019,1219.81,2.14,9.5,1.3
Бийск,291.67,221.290010334229,200629,2019,687.86,1.31,17.8,2.7
Прокопьевск,227.5,227.364226457639,191839,2019,843.25,1.4,15,1.7
Армавир,280,58.0079154897532,190205,2019,679.3,1.64,10.9,1.5
Балаково,79,75.6727344773938,189829,2018,2402.9,1.35,16.2,2.1
Рыбинск,101.42,99.4944871399532,188678,2018,1860.36,1.47,10.5,1
Петропавловск-Камчатский,400,362.364502669931,181181,2019,500.31,1.59,16.5,2
Норильск,,4511.97333559568,179554,2018,7752.76,1.48,18.2,3
Сызрань,117,147.248400775273,173260,2017,1480.85,1.56,13.1,1.7
Уссурийск,173,135.707207535954,173165,2019,1000.95,1.51,13.9,2
Волгодонск,182.3,184.276698000458,172050,2017,940.6,1.48,13.3,2
Красногорск,25.65,21.8934973540541,171793,2019,6697.58,2.02,7.7,0.8
Новошахтинск,136,140.102205245212,108782,2017,799.87,1.48,13.3,2
Каменск-Уральский,144.08,77.9222473444678,167354,2019,1161.54,1.85,9.7,1.3
Новочеркасск,128,128.166431095931,167335,2017,1318.48,1.48,13.3,2
Златоуст,236.4,150.539094467462,165395,2019,699.640439932318,1.48,13.3,1.4
Электросталь,51.45,51.3518107298954,157371,2019,3058.72,2.02,7.7,0.8
Салават,106.23,100.626144938986,151571,2019,1426.01,1.54,12.1,1.9
Миасс,111.9,82.94012022473,151275,2019,1351.8,1.48,13.3,1.4
Керчь,108,108.561828732935,151025,2019,1398.38,1.17,17.2,2.3
Копейск,236.71,74.4006517633176,147573,2017,623.43,1.48,13.3,1.4
Находка,325.9,124.832413959141,147468,2019,452.49,1.51,13.9,2
Жуковский,47.229,33.5967815054795,107922,2019,2285.079082766944,2.02,7.7,0.8
Пятигорск,97,41.3071411306231,146262,2019,1507.86,1.22,13.6,1.9
Хасавюрт,40,46.0910682050895,142747,2019,3568.68,1.48,15.2,2.3
Рубцовск,84,83.3985072778962,142551,2019,1697.04,1.31,17.8,2.7
Березники,66,429.154094006047,141276,2019,2140.55,1.5,14.9,2.4
Коломна,65.1,66.6096901570295,141106,2019,2167.53,2.02,7.7,0.8
Майкоп,69.64,58.2635063515383,140539,2019,2018.08,1.51,13.3,2
Ковров,57.4,57.2701636046968,137594,2018,2397.11,1.29,12.8,1.3
Одинцово,19.6,25.7661921873544,137528,2019,7016.73,2.02,7.7,0.8
Домодедово,159.27,60.0143917592484,133528,2019,838.38,2.02,7.7,0.8
Нефтекамск,,37.5625605492754,129173,2019,877.24,1.54,12.1,1.9
Кисловодск,72,42.9880923922651,129098,2019,1793.03,1.22,13.6,1.9
Нефтеюганск,154,30.4307109264178,127710,2019,829.29,2.14,10.7,1.4
